"filename", "language", "JavaScript", "Vue.js", "JSON", "Markdown", "JSON with Comments", "HTML", "CSS", "comment", "blank", "total"
"/Users/pengruiying/Desktop/sophmore/大作业汇总/软工大作业/VUE-TeamWork/vue-project/src/main.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 2, 9, 31
"/Users/pengruiying/Desktop/sophmore/大作业汇总/软工大作业/VUE-TeamWork/vue-project/src/router/index.js", "JavaScript", 187, 0, 0, 0, 0, 0, 0, 5, 7, 199
"/Users/pengruiying/Desktop/sophmore/大作业汇总/软工大作业/VUE-TeamWork/vue-project/src/store/index.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 3, 30
"/Users/pengruiying/Desktop/sophmore/大作业汇总/软工大作业/VUE-TeamWork/vue-project/src/views/AboutView.vue", "Vue.js", 0, 25, 0, 0, 0, 0, 0, 9, 4, 38
"/Users/pengruiying/Desktop/sophmore/大作业汇总/软工大作业/VUE-TeamWork/vue-project/src/views/Group.vue", "Vue.js", 0, 18, 0, 0, 0, 0, 0, 1, 2, 21
"/Users/pengruiying/Desktop/sophmore/大作业汇总/软工大作业/VUE-TeamWork/vue-project/src/views/HomeView.vue", "Vue.js", 0, 62, 0, 0, 0, 0, 0, 3, 3, 68
"/Users/pengruiying/Desktop/sophmore/大作业汇总/软工大作业/VUE-TeamWork/vue-project/src/views/LoginView.vue", "Vue.js", 0, 14, 0, 0, 0, 0, 0, 0, 3, 17
"/Users/pengruiying/Desktop/sophmore/大作业汇总/软工大作业/VUE-TeamWork/vue-project/src/views/MovieInfoView.vue", "Vue.js", 0, 22, 0, 0, 0, 0, 0, 0, 4, 26
"/Users/pengruiying/Desktop/sophmore/大作业汇总/软工大作业/VUE-TeamWork/vue-project/src/views/PhoneLoginView.vue", "Vue.js", 0, 14, 0, 0, 0, 0, 0, 0, 3, 17
"/Users/pengruiying/Desktop/sophmore/大作业汇总/软工大作业/VUE-TeamWork/vue-project/src/views/SignView.vue", "Vue.js", 0, 14, 0, 0, 0, 0, 0, 0, 3, 17
"/Users/pengruiying/Desktop/sophmore/大作业汇总/软工大作业/VUE-TeamWork/vue-project/src/views/TopicInfoView.vue", "Vue.js", 0, 23, 0, 0, 0, 0, 0, 0, 4, 27
"/Users/pengruiying/Desktop/sophmore/大作业汇总/软工大作业/VUE-TeamWork/vue-project/src/views/TopicShow.vue", "Vue.js", 0, 152, 0, 0, 0, 0, 0, 20, 5, 177
"/Users/pengruiying/Desktop/sophmore/大作业汇总/软工大作业/VUE-TeamWork/vue-project/src/views/WriteReview.vue", "Vue.js", 0, 68, 0, 0, 0, 0, 0, 0, 7, 75
"/Users/pengruiying/Desktop/sophmore/大作业汇总/软工大作业/VUE-TeamWork/vue-project/src/views/book/BookInfoView.vue", "Vue.js", 0, 26, 0, 0, 0, 0, 0, 0, 2, 28
"/Users/pengruiying/Desktop/sophmore/大作业汇总/软工大作业/VUE-TeamWork/vue-project/src/views/book/bookhead.vue", "Vue.js", 0, 165, 0, 0, 0, 0, 0, 36, 10, 211
"/Users/pengruiying/Desktop/sophmore/大作业汇总/软工大作业/VUE-TeamWork/vue-project/src/views/book/bookmain.vue", "Vue.js", 0, 22, 0, 0, 0, 0, 0, 1, 1, 24
"/Users/pengruiying/Desktop/sophmore/大作业汇总/软工大作业/VUE-TeamWork/vue-project/src/views/book/searchView.vue", "Vue.js", 0, 34, 0, 0, 0, 0, 0, 3, 2, 39
"/Users/pengruiying/Desktop/sophmore/大作业汇总/软工大作业/VUE-TeamWork/vue-project/src/views/group/editor.vue", "Vue.js", 0, 13, 0, 0, 0, 0, 0, 0, 0, 13
"/Users/pengruiying/Desktop/sophmore/大作业汇总/软工大作业/VUE-TeamWork/vue-project/src/views/group/groupmain.vue", "Vue.js", 0, 39, 0, 0, 0, 0, 0, 0, 1, 40
"/Users/pengruiying/Desktop/sophmore/大作业汇总/软工大作业/VUE-TeamWork/vue-project/src/views/group/info.vue", "Vue.js", 0, 74, 0, 0, 0, 0, 0, 0, 2, 76
"/Users/pengruiying/Desktop/sophmore/大作业汇总/软工大作业/VUE-TeamWork/vue-project/src/views/group/manage.vue", "Vue.js", 0, 80, 0, 0, 0, 0, 0, 1, 4, 85
"/Users/pengruiying/Desktop/sophmore/大作业汇总/软工大作业/VUE-TeamWork/vue-project/src/views/group/mygroup.vue", "Vue.js", 0, 124, 0, 0, 0, 0, 0, 9, 7, 140
"/Users/pengruiying/Desktop/sophmore/大作业汇总/软工大作业/VUE-TeamWork/vue-project/src/views/group/search.vue", "Vue.js", 0, 30, 0, 0, 0, 0, 0, 0, 0, 30
"/Users/pengruiying/Desktop/sophmore/大作业汇总/软工大作业/VUE-TeamWork/vue-project/src/views/group/showText.vue", "Vue.js", 0, 43, 0, 0, 0, 0, 0, 0, 3, 46
"/Users/pengruiying/Desktop/sophmore/大作业汇总/软工大作业/VUE-TeamWork/vue-project/src/views/homesearch/book.vue", "Vue.js", 0, 144, 0, 0, 0, 0, 0, 7, 8, 159
"/Users/pengruiying/Desktop/sophmore/大作业汇总/软工大作业/VUE-TeamWork/vue-project/src/views/homesearch/group.vue", "Vue.js", 0, 140, 0, 0, 0, 0, 0, 7, 5, 152
"/Users/pengruiying/Desktop/sophmore/大作业汇总/软工大作业/VUE-TeamWork/vue-project/src/views/homesearch/movie.vue", "Vue.js", 0, 136, 0, 0, 0, 0, 0, 10, 6, 152
"/Users/pengruiying/Desktop/sophmore/大作业汇总/软工大作业/VUE-TeamWork/vue-project/src/views/homesearch/searchAll.vue", "Vue.js", 0, 34, 0, 0, 0, 0, 0, 6, 0, 40
"/Users/pengruiying/Desktop/sophmore/大作业汇总/软工大作业/VUE-TeamWork/vue-project/src/views/homesearch/topic.vue", "Vue.js", 0, 124, 0, 0, 0, 0, 0, 4, 3, 131
"/Users/pengruiying/Desktop/sophmore/大作业汇总/软工大作业/VUE-TeamWork/vue-project/src/views/homesearch/topic2.vue", "Vue.js", 0, 27, 0, 0, 0, 0, 0, 0, 1, 28
"/Users/pengruiying/Desktop/sophmore/大作业汇总/软工大作业/VUE-TeamWork/vue-project/src/views/message/message.vue", "Vue.js", 0, 130, 0, 0, 0, 0, 0, 11, 7, 148
"/Users/pengruiying/Desktop/sophmore/大作业汇总/软工大作业/VUE-TeamWork/vue-project/src/views/movie/moviehead.vue", "Vue.js", 0, 177, 0, 0, 0, 0, 0, 13, 5, 195
"/Users/pengruiying/Desktop/sophmore/大作业汇总/软工大作业/VUE-TeamWork/vue-project/src/views/movie/movieinfo.vue", "Vue.js", 0, 23, 0, 0, 0, 0, 0, 4, 2, 29
"/Users/pengruiying/Desktop/sophmore/大作业汇总/软工大作业/VUE-TeamWork/vue-project/src/views/movie/moviemain.vue", "Vue.js", 0, 25, 0, 0, 0, 0, 0, 0, 1, 26
"/Users/pengruiying/Desktop/sophmore/大作业汇总/软工大作业/VUE-TeamWork/vue-project/src/views/movie/moviesearch.vue", "Vue.js", 0, 32, 0, 0, 0, 0, 0, 3, 2, 37
"/Users/pengruiying/Desktop/sophmore/大作业汇总/软工大作业/VUE-TeamWork/vue-project/src/views/report.vue", "Vue.js", 0, 170, 0, 0, 0, 0, 0, 0, 5, 175
"/Users/pengruiying/Desktop/sophmore/大作业汇总/软工大作业/VUE-TeamWork/vue-project/src/views/topic/topicinfo.vue", "Vue.js", 0, 31, 0, 0, 0, 0, 0, 0, 3, 34
"/Users/pengruiying/Desktop/sophmore/大作业汇总/软工大作业/VUE-TeamWork/vue-project/src/views/topic/topicmain.vue", "Vue.js", 0, 36, 0, 0, 0, 0, 0, 0, 3, 39
"/Users/pengruiying/Desktop/sophmore/大作业汇总/软工大作业/VUE-TeamWork/vue-project/vue.config.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 3, 28
"Total", "-", 264, 9176, 8018, 21, 8, 16, 411, 619, 602, 19135
